Year,Company Name,Symbol,Stock Price,Market Cap,Revenue,Revenue Growth,NetIncomeLoss,Net Profit Margin,EPS,P/E Ratio
2017,Apple,AAPL,39.831562519073486,633354758794.9141,,,,,,
2017,Amazon,AMZN,52.201093673706055,614361479655.5625,,,,,,
2017,Microsoft,MSFT,76.77874779701233,596282767570.6055,,,,,,
2017,Meta Platforms (Facebook),META,164.14937591552734,402681662454.8125,40653000000.0,47.090961719371876,15934000000.0,39.195139350109464,5.49,29.899704174048697
2017,Alphabet (Google),GOOG,48.10090637207031,304856260224.0,110855000000.0,22.801090038993266,12662000000.0,11.422128005051645,18.27,2.632780863276974
2017,Johnson & Johnson,JNJ,129.26500034332275,285009592083.8633,,,1300000000.0,,,
2017,JPMorgan Chase,JPM,95.8262505531311,262160431383.1875,100705000000.0,4.28294794395717,24441000000.0,24.2698972245668,6.35,15.090748118603324
2017,Berkshire Hathaway,BRK-B,179.62312507629395,258044618641.66016,,,,,,
2017,Exxon Mobil,XOM,82.5575008392334,252678185762.40234,244363000000.0,21.79905097992304,19710000000.0,8.065869219153472,4.63,17.830993701778272
2017,Walmart,WMT,82.30937433242798,239480269367.85352,,,,,,
2017,UnitedHealth,UNH,184.86874961853027,187302391644.72656,201159000000.0,8.828716727980957,10558000000.0,5.248584453094319,10.95,16.882990832742493
2017,Procter & Gamble,PG,89.00374937057495,181843228394.1953,,,,,5.8,15.345474029409475
2017,Visa,V,104.03624963760376,173777230546.34766,18358000000.0,21.721257127701897,6699000000.0,36.49090314849112,,
2017,Home Depot,HD,163.73999977111816,161797429697.18262,,,,,,
2017,Mastercard,MA,132.73812532424927,136733343791.69336,,,,,,
2017,NVIDIA,NVDA,37.0389062166214,121813310565.2168,,,,,,
2017,Oracle,ORCL,47.96499991416931,115827690542.25586,,,3587000000.0,,0.87,55.132183809390014
2017,Broadcom,AVGO,240.21874904632568,113219312074.14062,17636000000.0,33.202416918429,1692000000.0,9.59401224767521,4.18,57.46860025031715
2017,Eli Lilly,LLY,81.8118748664856,72343499449.97754,,,-204100000.0,,,
2017,Tesla,TSLA,21.757708430290222,67929283447.46875,,,,,-11.83,-1.8391976695088945
