Year,Company Name,Symbol,Stock Price,Market Cap,Revenue,Revenue Growth,NetIncomeLoss,Net Profit Margin,EPS,P/E Ratio
2004,Microsoft,MSFT,26.79937481880188,138946511327.99707,,,,,,
2004,Exxon Mobil,XOM,45.37375020980835,106588902383.06299,,,,,,
2004,Walmart,WMT,54.700000286102295,97021240750.8252,,,,,,
2004,Johnson & Johnson,JNJ,55.261250019073486,88386733908.6875,,,,,,
2004,Procter & Gamble,PG,53.38406229019165,76584525342.73047,,,,,,
2004,Berkshire Hathaway,BRK-B,58.80000066757202,75861610273.37744,,,,,,
2004,JPMorgan Chase,JPM,38.2581250667572,67614751418.50781,,,,,,
2004,UnitedHealth,UNH,33.80562496185303,32400301284.451904,,,,,,
2004,Oracle,ORCL,11.951249837875366,30105403799.783203,,,,,,
2004,Eli Lilly,LLY,63.56749987602234,29472894699.818604,,,,,,
2004,Alphabet (Google),GOOG,4.19680067896843,28904531065.42871,,,,,,
2004,Home Depot,HD,37.95937514305115,27040982405.593994,,,,,,
2004,Amazon,AMZN,2.0801874920725822,23003485014.218018,,,,,,
2004,Apple,AAPL,0.8320423811674118,14900042949.992065,,,,,,
2004,NVIDIA,NVDA,1.7304687425494194,4452772981.605469,,,,,,
2004,Meta Platforms (Facebook),META,,,,,,,,
2004,Tesla,TSLA,,,,,,,,
2004,Visa,V,,,,,,,,
2004,Broadcom,AVGO,,,,,,,,
2004,Mastercard,MA,,,,,,,,
