Year,Company Name,Symbol,Stock Price,Market Cap,Revenue,Revenue Growth,NetIncomeLoss,Net Profit Margin,EPS,P/E Ratio
2016,Microsoft,MSFT,56.863749980926514,424669867840.5117,,,,,,
2016,Apple,AAPL,27.143593788146973,420294264877.58594,,,,,,
2016,Amazon,AMZN,36.094125151634216,389421277108.9492,,,2371000000.0,,5.01,7.204416197930982
2016,Exxon Mobil,XOM,86.33500051498413,260187559027.78906,200628000000.0,-22.683129855715872,7840000000.0,3.9077297286520327,1.88,45.92287261435327
2016,Meta Platforms (Facebook),META,121.53875160217285,259383639043.0625,27638000000.0,54.16108879964302,10217000000.0,36.967219046240686,3.56,34.14009876465529
2016,Johnson & Johnson,JNJ,113.73250007629395,231124035464.9961,,,,,,
2016,Alphabet (Google),GOOG,37.71916890144348,225032578004.40234,90272000000.0,20.380322447292272,19478000000.0,21.57701169797944,28.32,1.3318915572543601
2016,Berkshire Hathaway,BRK-B,145.00874996185303,214356810074.49023,223604000000.0,,24074000000.0,10.766354805817427,,
2016,JPMorgan Chase,JPM,71.16812419891357,207115288629.28125,96569000000.0,3.2348759394075453,24733000000.0,25.611738756743886,6.24,11.405148108800251
2016,Procter & Gamble,PG,83.95749998092651,163781205911.89062,,,,,3.8,22.094078942349082
2016,Walmart,WMT,68.84000062942505,162576017681.45117,,,,,,
2016,UnitedHealth,UNH,135.95812511444092,134697734348.25781,184840000000.0,17.652300661332724,7017000000.0,3.796256221597057,7.37,18.447506799788457
2016,Visa,V,79.1693754196167,119798949920.58984,15082000000.0,8.659942363112393,5991000000.0,39.722848428590375,,
2016,Home Depot,HD,132.23624897003174,112969141077.14307,,,,,,
2016,Oracle,ORCL,40.091875076293945,94614884432.63086,37792000000.0,2.010959052015008,9452000000.0,25.010584250635056,2.3,17.43125003317128
2016,Mastercard,MA,98.15999984741211,94160899372.7041,10776000000.0,,,,,
2016,Broadcom,AVGO,160.98562335968018,74163407592.51953,13240000000.0,,-1739000000.0,-13.134441087613293,-4.75,-33.8917101809853
2016,Eli Lilly,LLY,74.63062524795532,62108920880.09375,21222100000.0,,2737600000.0,12.89976015568676,,
2016,NVIDIA,NVDA,13.80718743801117,62091552251.81836,,,,,,
2016,Tesla,TSLA,14.285124957561493,45986254533.00781,,,,,-4.68,-3.0523771276840796
